repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
huggingface/transformers,Model development,Modeling & training,134471,58,0.04%,319,0.24%,26893,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","thomwolf, sgugger, LysandreJik",100+,2018-10-29,2024-10-28,1820
marimo-team/marimo,Infrastructure,Toolings,7605,57,0.75%,705,9.27%,261,"A reactive notebook for Python — run reproducible experiments, execute as a script, deploy as an app, and version with git. ","mscolnick, akshayka, dmadisetti",60,2023-08-14,2024-10-04,2
AUTOMATIC1111/stable-diffusion-webui,Applications,Image production,142373,57,0.04%,435,0.31%,26854,Stable Diffusion web UI,"AUTOMATIC1111, w-e-w, dfaker",100+,2022-08-22,2024-03-09,531852
hiyouga/LLaMA-Factory,Model development,Modeling & training,33717,55,0.16%,547,1.62%,4150,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024),"hiyouga, BUAADreamer, codemayq",100+,2023-05-28,2024-11-04,0
Nutlope/llamacoder,Applications,Coding,3240,53,1.64%,0,0.00%,540,Open source Claude Artifacts – built with Llama 3.1 405B,"Nutlope, samselikoff",2,2024-07-25,2024-09-13,0
zhayujie/chatgpt-on-wechat,Applications,Bots,30989,52,0.17%,164,0.53%,8090,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT-o1/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,"zhayujie, lanvent, 6vision",72,2022-08-07,2024-10-31,221
langchain-ai/langchain,AI engineering,AIE framework,94420,52,0.06%,326,0.35%,15258,🦜🔗 Build context-aware reasoning applications,"baskaryan, hwchase17, efriis",100+,2022-10-17,2024-11-05,4816
openai/whisper,Model repo,,70761,50,0.07%,353,0.50%,8374,Robust Speech Recognition via Large-Scale Weak Supervision,"jongwook, ryanheise, EliEron",68,2022-09-16,2024-11-04,0
BerriAI/litellm,AI engineering,AIE framework,13570,48,0.35%,224,1.65%,1589,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]","ishaan-jaff, krrishdholakia, Manouchehri",100+,2023-07-27,2024-11-05,831
vllm-project/vllm,Infrastructure,Serving,29638,48,0.16%,357,1.20%,4472,A high-throughput and memory-efficient inference and serving engine for LLMs,"WoosukKwon, youkaichao, DarkLight1337",100+,2023-02-09,2024-11-05,8406
microsoft/autogen,AI engineering,Agent,32640,48,0.15%,237,0.73%,4748,A programming framework for agentic AI 🤖,"sonichi, jackgerrits, ekzhu",100+,2023-08-18,2024-11-05,0
f/awesome-chatgpt-prompts,Lists,Prompt engineering,112359,47,0.04%,257,0.23%,15324,This repo includes ChatGPT prompt curation to use ChatGPT better.,"f, iuzn, fengkiej",83,2022-12-05,2022-12-05,0
ChatGPTNextWeb/ChatGPT-Next-Web,AI engineering,AI interface,76296,45,0.06%,217,0.28%,59076,A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,"Yidadaa, lloydzhou, Dogtiti",100+,2023-03-10,2024-11-05,173159
danny-avila/LibreChat,AI engineering,AI interface,18841,42,0.22%,384,2.04%,3142,"Enhanced ChatGPT Clone: Features Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. Actively in public development.","danny-avila, wtlyu, berry-13",100+,2023-02-12,2024-11-05,0
unslothai/unsloth,Model development,Inference optimization,17794,40,0.22%,333,1.87%,1235,"Finetune Llama 3.2, Mistral, Phi, Qwen & Gemma LLMs 2-5x faster with 80% less memory","danielhanchen, shimmyshimmer, Erland366",13,2023-11-29,2024-10-26,0
fighting41love/funNLP,Lists,,68893,40,0.06%,189,0.27%,14496,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具","fighting41love, wainshine, imhuster",11,2018-08-21,2023-08-24,0
llmware-ai/llmware,AI engineering,AIE framework,6414,39,0.61%,326,5.08%,1513,"Unified framework for building enterprise RAG pipelines with small, specialized models","doberst, MacOS, turnham",72,2023-09-29,2024-10-29,0
continuedev/continue,Applications,Coding,18865,39,0.21%,254,1.35%,1597,⏩ Continue is the leading open-source AI code assistant. You can connect any models and any context to build custom autocomplete and chat experiences inside VS Code and JetBrains,"sestinj, Patrick-Erichsen, TyDunn",100+,2023-05-24,2024-11-05,433
stanfordnlp/dspy,AI engineering,Prompt engineering,18487,39,0.21%,227,1.23%,1423,DSPy: The framework for programming—not prompting—foundation models,"okhat, arnavsinghvi11, krypticmouse",100+,2023-01-09,2024-11-05,0
microsoft/generative-ai-for-beginners,Tutorials,,64771,39,0.06%,226,0.35%,32988,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/","koreyspace, john0isaac, yoshioterada",93,2023-06-19,2024-10-07,0
lobehub/lobe-chat,AI engineering,AIE framework,44202,38,0.09%,415,0.94%,9888,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Azure /  DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT/ Claude application.","arvinxx, canisminor1990, lobehubbot",100+,2023-05-21,2024-11-05,0
go-skynet/LocalAI,AI engineering,AIE framework,24402,37,0.15%,144,0.59%,1867,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed inference","mudler, localai-bot, ci-robbot",100+,2023-03-18,2024-11-05,6858
PaddlePaddle/PaddleOCR,Model repo,Multimodal,44001,37,0.08%,196,0.45%,7803,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)","LDOUBLEV, WenmuZhou, MissPenguin",100+,2020-05-08,2024-11-05,0
microsoft/BitNet,Model development,Inference optimization,10796,36,0.33%,573,5.31%,732,Official inference framework for 1-bit LLMs,"dawnmsg, potassiummmm, Eddie-Wang1120",8,2024-08-05,2024-10-24,0
janhq/jan,Applications,Bots,23208,36,0.16%,250,1.08%,1347,"Jan is an open source alternative to ChatGPT that runs 100% offline on your computer. Multiple engine support (llama.cpp, TensorRT-LLM)","henryh0x1, louis-jan, urmauur",55,2023-08-17,2024-11-04,517210
timescale/pgai,AI engineering,AIE framework,1672,35,2.09%,914,54.67%,73,"A suite of tools to develop RAG, semantic search, and other AI applications more easily with PostgreSQL","jgpruitt, billy-the-fish, alejandrodnm",18,2024-05-16,2024-11-05,0
traceloop/openllmetry,Infrastructure,Monitoring,3397,35,1.03%,266,7.83%,656,"Open-source observability for your LLM application, based on OpenTelemetry","nirga, galkleinman, paolorechia",53,2023-09-02,2024-11-05,0
liguodongiot/llm-action,Tutorials,,10347,35,0.34%,346,3.34%,1026,本项目旨在分享大模型相关技术原理以及实战经验（大模型工程化、大模型应用落地）,liguodongiot,1,2023-05-23,1000-01-01,0
composiohq/composio,AI engineering,Agent,11366,33,0.29%,258,2.27%,4331,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,"kaavee315, utkarsh-dixit, angrybayblade",36,2024-02-23,2024-11-05,133
getcursor/cursor,Applications,Coding,24918,33,0.13%,195,0.78%,1554,The AI Code Editor,"truell20, Sanger2000, terror",28,2023-03-12,2023-04-06,0
embedchain/embedchain,AI engineering,AIE framework,22671,33,0.15%,148,0.65%,2088,The Memory layer for your AI apps,"taranjeet, deshraj, Dev-Khant",100+,2023-06-20,2024-11-04,0
mem0ai/mem0,AI engineering,Agent,22671,33,0.15%,148,0.65%,2088,The Memory layer for your AI apps,"taranjeet, deshraj, Dev-Khant",100+,2023-06-20,2024-11-04,0
Dao-AILab/flash-attention,Model development,Inference optimization,14061,32,0.23%,118,0.84%,1313,Fast and memory-efficient exact attention,"tridao, piercefreeman, ipiszy",88,2022-05-19,2024-10-31,472239
binary-husky/gpt_academic,Applications,Info aggregation,65431,32,0.05%,231,0.35%,8048,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。","binary-husky, binary-sky, Skyzayre",90,2023-03-20,2024-11-03,14565
songquanpeng/one-api,AI engineering,AIE framework,18938,31,0.16%,175,0.92%,4246,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI.","songquanpeng, mrhaoji, igophper",100+,2023-04-22,2024-10-27,3102
FlowiseAI/Flowise,AI engineering,AIE framework,31165,30,0.10%,195,0.63%,16228,Drag & drop UI to build your customized LLM flow,"HenryHengZJ, chungyau97, vinodkiran",100+,2023-03-31,2024-11-01,0
gradio-app/gradio,AI engineering,AI interface,33712,30,0.09%,192,0.57%,2554,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","abidlabs, pngwn, aliabd",100+,2018-12-19,2024-11-04,0
simonw/llm,Applications,Bots,4640,28,0.60%,106,2.28%,255,Access large language models from the command-line,"simonw, cmungall, flabat",22,2023-04-01,2024-10-28,0
joaomdmoura/crewAI,AI engineering,Agent,20792,28,0.13%,221,1.06%,2873,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","joaomdmoura, bhancockio, lorenzejay",100+,2023-10-27,2024-11-05,0
pytorch/pytorch,Model development,Modeling & training,83625,27,0.03%,201,0.24%,22559,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"ezyang, malfet, zou3519",100+,2016-08-13,1000-01-01,29899
openai/CLIP,Model repo,Multimodal,25743,26,0.10%,119,0.46%,3295,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","jongwook, jiahuei, or-toledano",21,2020-12-16,2024-06-04,0
QwenLM/Qwen1.5,Model repo,,9301,25,0.27%,142,1.53%,572,"Qwen2.5 is the large language model series developed by Qwen team, Alibaba Cloud.","jklj077, JustinLin610, bug-orz",29,2024-02-05,2024-10-30,0
